source_country,target_country,shortest_path_length
Canada,Canada,0.45454545454545453
Japan,Japan,0.46511627906976744
Australia,Australia,0.5988023952095808
France,France,0.9615384615384616
Portugal,Portugal,1.1904761904761905
Brazil,Brazil,1.5873015873015872
Italy,Italy,1.6129032258064515
India,India,1.7241379310344827
Romania,Romania,3.4482758620689653
Pakistan,India,4.545454545454546
China,China,4.761904761904762
India,Pakistan,5.0
Israel,"Palestine, State of",5.882352941176471
Ireland,Ireland,5.882352941176471
Brazil,Portugal,5.882352941176471
United Kingdom,Ireland,5.882352941176471
"Palestine, State of",Israel,5.882352941176471
Belgium,Belgium,6.25
India,Nepal,6.666666666666667
Iran,Iran,7.142857142857143
New Zealand,Australia,7.142857142857143
Mexico,Mexico,7.142857142857143
Canada,India,8.104395604395604
United Kingdom,United Kingdom,8.333333333333334
Sweden,Sweden,8.333333333333334
Japan,India,8.571428571428571
Norway,India,9.103641456582633
Romania,Ukraine,9.107142857142858
Canada,United Kingdom,9.180790960451978
France,Ukraine,9.191176470588236
Norway,Ukraine,9.375
Canada,Australia,9.538152610441768
Australia,India,9.642857142857142
Italy,Ukraine,9.821428571428571
Norway,Ireland,9.965034965034965
Serbia,Croatia,10.0
Canada,Ireland,10.151515151515152
Brazil,India,10.173160173160174
Israel,India,10.267857142857142
Denmark,Sweden,11.11111111111111
Singapore,Singapore,11.11111111111111
France,United Kingdom,11.11111111111111
Iran,Israel,11.11111111111111
Argentina,Argentina,11.11111111111111
Croatia,Serbia,11.11111111111111
Nepal,India,11.11111111111111
Croatia,Ukraine,11.25
Portugal,Ukraine,11.25
United Kingdom,Canada,11.266968325791856
Canada,New Zealand,11.27450980392157
Italy,India,11.30952380952381
Portugal,Ireland,11.363636363636365
China,India,11.490683229813666
Romania,United Kingdom,11.94805194805195
United Kingdom,Ukraine,12.132352941176471
Philippines,India,12.142857142857142
Canada,United States,12.17948717948718
Norway,United Kingdom,12.215909090909092
Poland,Poland,12.5
Ukraine,Ukraine,12.5
Portugal,Brazil,12.5
Canada,Germany,12.526743688489518
Italy,United Kingdom,12.662337662337663
Germany,Austria,12.662337662337663
Malaysia,India,12.6984126984127
Argentina,India,12.6984126984127
France,India,12.6984126984127
Romania,Ireland,12.857142857142858
Sweden,Ukraine,12.916666666666668
France,Ireland,12.941176470588236
